ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2014,2014,0,Total,117778,14054,"Census Tract 129.01, San Francisco County, CA",14000US06075012901
2013,2013,0,Total,110741,16380,"Census Tract 129.01, San Francisco County, CA",14000US06075012901
2018,2018,0,Total,128407,13499,"Census Tract 129.02, San Francisco County, CA",14000US06075012902
2017,2017,0,Total,120190,16483,"Census Tract 129.02, San Francisco County, CA",14000US06075012902
2016,2016,0,Total,119007,16934,"Census Tract 129.02, San Francisco County, CA",14000US06075012902
2015,2015,0,Total,103810,12173,"Census Tract 129.02, San Francisco County, CA",14000US06075012902
2014,2014,0,Total,108201,11761,"Census Tract 129.02, San Francisco County, CA",14000US06075012902
2013,2013,0,Total,104758,13320,"Census Tract 129.02, San Francisco County, CA",14000US06075012902
2018,2018,0,Total,161397,7961,"Census Tract 130, San Francisco County, CA",14000US06075013000
2017,2017,0,Total,156117,16012,"Census Tract 130, San Francisco County, CA",14000US06075013000
2016,2016,0,Total,151477,11664,"Census Tract 130, San Francisco County, CA",14000US06075013000
2015,2015,0,Total,145871,14128,"Census Tract 130, San Francisco County, CA",14000US06075013000
2014,2014,0,Total,133537,17646,"Census Tract 130, San Francisco County, CA",14000US06075013000
2013,2013,0,Total,115536,35123,"Census Tract 130, San Francisco County, CA",14000US06075013000
2018,2018,0,Total,146932,28671,"Census Tract 131.01, San Francisco County, CA",14000US06075013101
2017,2017,0,Total,130927,25176,"Census Tract 131.01, San Francisco County, CA",14000US06075013101
2016,2016,0,Total,124063,18835,"Census Tract 131.01, San Francisco County, CA",14000US06075013101
2015,2015,0,Total,124043,24040,"Census Tract 131.01, San Francisco County, CA",14000US06075013101
2014,2014,0,Total,123671,23459,"Census Tract 131.01, San Francisco County, CA",14000US06075013101
2013,2013,0,Total,121855,18547,"Census Tract 131.01, San Francisco County, CA",14000US06075013101
2018,2018,0,Total,162045,26121,"Census Tract 131.02, San Francisco County, CA",14000US06075013102
2017,2017,0,Total,150643,13557,"Census Tract 131.02, San Francisco County, CA",14000US06075013102
2016,2016,0,Total,124330,16533,"Census Tract 131.02, San Francisco County, CA",14000US06075013102
2015,2015,0,Total,102333,10294,"Census Tract 131.02, San Francisco County, CA",14000US06075013102
2014,2014,0,Total,99722,7941,"Census Tract 131.02, San Francisco County, CA",14000US06075013102
2013,2013,0,Total,96324,12628,"Census Tract 131.02, San Francisco County, CA",14000US06075013102
2018,2018,0,Total,188844,25366,"Census Tract 132, San Francisco County, CA",14000US06075013200
2017,2017,0,Total,142650,34567,"Census Tract 132, San Francisco County, CA",14000US06075013200
2016,2016,0,Total,131806,21870,"Census Tract 132, San Francisco County, CA",14000US06075013200
2015,2015,0,Total,139669,29547,"Census Tract 132, San Francisco County, CA",14000US06075013200
2014,2014,0,Total,139663,23240,"Census Tract 132, San Francisco County, CA",14000US06075013200
2013,2013,0,Total,137230,24557,"Census Tract 132, San Francisco County, CA",14000US06075013200
2018,2018,0,Total,162500,20053,"Census Tract 133, San Francisco County, CA",14000US06075013300
2017,2017,0,Total,144875,20181,"Census Tract 133, San Francisco County, CA",14000US06075013300
2016,2016,0,Total,141019,19838,"Census Tract 133, San Francisco County, CA",14000US06075013300
2015,2015,0,Total,134152,23906,"Census Tract 133, San Francisco County, CA",14000US06075013300
2014,2014,0,Total,135900,26001,"Census Tract 133, San Francisco County, CA",14000US06075013300
2013,2013,0,Total,128125,32033,"Census Tract 133, San Francisco County, CA",14000US06075013300
2018,2018,0,Total,170729,38296,"Census Tract 134, San Francisco County, CA",14000US06075013400
2017,2017,0,Total,152417,28284,"Census Tract 134, San Francisco County, CA",14000US06075013400
2016,2016,0,Total,136700,23850,"Census Tract 134, San Francisco County, CA",14000US06075013400
2015,2015,0,Total,125409,19328,"Census Tract 134, San Francisco County, CA",14000US06075013400
2014,2014,0,Total,119815,20768,"Census Tract 134, San Francisco County, CA",14000US06075013400
2013,2013,0,Total,106364,16916,"Census Tract 134, San Francisco County, CA",14000US06075013400
2018,2018,0,Total,132750,16859,"Census Tract 135, San Francisco County, CA",14000US06075013500
