cluster_size,mean,var_latitude,var_longitude,cov
32,"(37.733428194188114, -122.42694595209534)",1.0375666931997253e-06,2.2079117540972476e-06,-7.935698100588402e-07
31,"(37.78544095190334, -122.43355724086628)",3.387626495358699e-07,2.4345482101830226e-06,2.4498641032125093e-07
31,"(37.79904298716414, -122.39956814161587)",1.7377256376811018e-06,7.942223574280703e-07,-4.29518675123318e-07
31,"(37.79811434858387, -122.41067712493764)",9.612523819622391e-07,1.24575542086604e-06,-8.775483994911125e-08
31,"(37.77524207343771, -122.47461281876264)",1.0009277454129224e-06,2.207286477039759e-06,-2.8521249971420284e-07
31,"(37.73669674510206, -122.42991860614481)",5.686644593641131e-07,2.586806148924476e-06,3.6160976056134355e-07
31,"(37.794147620059285, -122.40560554239167)",6.882259577962054e-07,1.7328354242127773e-06,-2.585147585138184e-07
31,"(37.76102740921432, -122.39095592850455)",8.49259544260531e-07,1.5869571499619864e-06,1.503504047291124e-07
31,"(37.72024226117358, -122.48247959603836)",5.013489952050185e-07,2.7482335214602592e-06,1.8037847364032752e-07
30,"(37.79942515462434, -122.43594700267222)",8.553665810315022e-07,1.1447641663564915e-06,-1.4850648136888684e-07
30,"(37.72390026756713, -122.45907803447116)",1.1704223776049247e-06,1.8157334446438194e-06,5.632716008864454e-08
30,"(37.757528265869254, -122.3890273853846)",3.6172113167263295e-07,1.0930646096129416e-06,-2.28388273907936e-07
30,"(37.7302887801536, -122.43858787365482)",1.8720437781953815e-06,1.485069987960809e-06,2.3784571384837464e-07
29,"(37.721251994409165, -122.39144687669005)",8.299779134265182e-07,1.0824874538939684e-06,4.3145555790524195e-07
29,"(37.76360289840154, -122.46391304532523)",1.0032711597183789e-06,1.7641365516500428e-06,-5.765706111308466e-08
29,"(37.73249482521496, -122.38033496719193)",1.6997405790027634e-06,2.038975837323324e-06,7.970558447433111e-07
29,"(37.722375964968585, -122.45446563098601)",6.269100519114915e-07,2.563208668810767e-06,3.472449639194933e-07
29,"(37.795010407960135, -122.43518699686304)",9.70753692373985e-07,2.101425771928182e-06,7.071938708382083e-07
29,"(37.73174036649592, -122.39075072545121)",4.6811737609739264e-07,8.686456300499856e-07,6.172655917901383e-08
29,"(37.803732191316676, -122.43738239691214)",1.3355962176684199e-06,7.51219695689413e-07,-2.273884395700389e-07
29,"(37.71810234410698, -122.38642096970908)",7.368062755165057e-07,8.868107940629558e-07,-6.015284254828511e-08
29,"(37.73061507342375, -122.41275185401618)",1.0406279844892946e-06,1.3780104131344419e-06,-1.2443178569658775e-07
28,"(37.77532411357536, -122.40971709961545)",1.1948533073704076e-07,6.689548218877526e-07,7.772399874566683e-08
28,"(37.79040709479914, -122.4411562311201)",1.802072819470922e-06,1.4873837022178707e-06,-7.927265805381092e-07
28,"(37.70951107231899, -122.42289181348801)",8.474783507467933e-07,2.732915415607636e-06,-3.1791627258116286e-07
28,"(37.797322035604466, -122.44033193378871)",1.3678709066897497e-06,2.2620729812171035e-06,1.9111441276676068e-07
28,"(37.76563879054822, -122.45941510745202)",1.5534716782611074e-06,1.6890100923241305e-06,-6.06332260252618e-08
28,"(37.739841053640795, -122.41905396951418)",2.100516147092065e-06,7.481469752199151e-07,-3.760192319348717e-07
28,"(37.71361837857358, -122.41110388357076)",4.5809559928922795e-07,1.4960029633509033e-06,-3.953353284263812e-07
28,"(37.7221513129759, -122.47069373971088)",1.488622775193377e-06,2.877198259522838e-06,-1.140701898529422e-06
